GENE,PHENOTYPES,RANK,SCORE
ACTA1,"HP:0001382,HP:0002938,HP:0001324,HP:0000767,HP:0003701,HP:0002515",5,-26.483135223388672
ACTA1,"HP:0002460,HP:0009027,HP:0002359,HP:0000218,HP:0010500,HP:0003307,HP:0002540,HP:0003722,HP:0003701,HP:0001315,HP:0003691,HP:0003704,HP:0002650,HP:0003484,HP:0002515,HP:0030319",4,-48.10354995727539
ACTA1,HP:0003798,4,-10.290504455566406
ACTA1,"HP:0100755,HP:0001344,HP:0001284,HP:0001558,HP:0003324,HP:0000218,HP:0001252,HP:0006380,HP:0000276,HP:0000303,HP:0040288,HP:0005487,HP:0003701,HP:0002098,HP:0004887,HP:0002650,HP:0030319",1,-58.01736068725586
ACTA1,HP:0003798,4,-10.29050350189209
ACTA1,"HP:0001284,HP:0001638,HP:0001349,HP:0000218,HP:0001252,HP:0006785,HP:0003798,HP:0002205",1,-39.43366622924805
ACTA1,HP:0003798,4,-10.29050350189209
ACTA1,"HP:0009046,HP:0002460,HP:0000218,HP:0001639,HP:0001382,HP:0001270,HP:0001324,HP:0000767,HP:0001763,HP:0003701,HP:0002093,HP:0002650",14,-46.54446029663086
ACTA1,HP:0003798,4,-10.290504455566406
ACTA1,HP:0003798,4,-10.29050350189209
ACTA1,HP:0003798,4,-10.29050350189209
ACTA1,"HP:0002118,HP:0009128,HP:0004325,HP:0001252,HP:0002107",12,-32.170902252197266
ACTA1,"HP:0003324,HP:0000218,HP:0001252,HP:0000276,HP:0040288,HP:0002421,HP:0002033,HP:0004887,HP:0030319",2,-35.48377227783203
ACTA1,"HP:0001558,HP:0003551,HP:0003391,HP:0001252,HP:0001270,HP:0000467,HP:0003798,HP:0003323,HP:0000473,HP:0002515,HP:0030319",2,-43.69020080566406
ACTA1,HP:0003798,4,-10.29050350189209
ACTA1,HP:0003798,4,-10.29050350189209
ACTA1,"HP:0001252,HP:0003690,HP:0040288,HP:0004887,HP:0002789,HP:0030319",4,-30.82198143005371
ACTA1,HP:0003798,4,-10.290504455566406
ACTA1,"HP:0002015,HP:0001324,HP:0011470",8,-16.514963150024414
